step,hit,hits,misses,evictions,hit_rate,policy,workload
321,True,211,111,79,0.65528,FIFO,locality
322,True,212,111,79,0.656347,FIFO,locality
323,True,213,111,79,0.657407,FIFO,locality
324,False,213,112,80,0.655385,FIFO,locality
325,True,214,112,80,0.656442,FIFO,locality
326,True,215,112,80,0.657492,FIFO,locality
327,False,215,113,81,0.655488,FIFO,locality
328,True,216,113,81,0.656535,FIFO,locality
329,True,217,113,81,0.657576,FIFO,locality
330,True,218,113,81,0.65861,FIFO,locality
331,True,219,113,81,0.659639,FIFO,locality
332,False,219,114,82,0.657658,FIFO,locality
333,True,220,114,82,0.658683,FIFO,locality
334,True,221,114,82,0.659701,FIFO,locality
335,True,222,114,82,0.660714,FIFO,locality
336,True,223,114,82,0.661721,FIFO,locality
337,True,224,114,82,0.662722,FIFO,locality
338,True,225,114,82,0.663717,FIFO,locality
339,True,226,114,82,0.664706,FIFO,locality
340,False,226,115,83,0.662757,FIFO,locality
341,True,227,115,83,0.663743,FIFO,locality
342,True,228,115,83,0.664723,FIFO,locality
343,False,228,116,84,0.662791,FIFO,locality
344,True,229,116,84,0.663768,FIFO,locality
345,True,230,116,84,0.66474,FIFO,locality
346,True,231,116,84,0.665706,FIFO,locality
347,True,232,116,84,0.666667,FIFO,locality
348,False,232,117,85,0.664756,FIFO,locality
349,True,233,117,85,0.665714,FIFO,locality
350,False,233,118,86,0.663818,FIFO,locality
351,True,234,118,86,0.664773,FIFO,locality
352,True,235,118,86,0.665722,FIFO,locality
353,True,236,118,86,0.666667,FIFO,locality
354,True,237,118,86,0.667606,FIFO,locality
355,False,237,119,87,0.66573,FIFO,locality
356,True,238,119,87,0.666667,FIFO,locality
357,False,238,120,88,0.664804,FIFO,locality
358,True,239,120,88,0.665738,FIFO,locality
359,False,239,121,89,0.663889,FIFO,locality
360,True,240,121,89,0.66482,FIFO,locality
361,True,241,121,89,0.665746,FIFO,locality
362,True,242,121,89,0.666667,FIFO,locality
363,True,243,121,89,0.667582,FIFO,locality
364,True,244,121,89,0.668493,FIFO,locality
365,True,245,121,89,0.669399,FIFO,locality
366,True,246,121,89,0.6703,FIFO,locality
367,False,246,122,90,0.668478,FIFO,locality
368,False,246,123,91,0.666667,FIFO,locality
369,True,247,123,91,0.667568,FIFO,locality
370,False,247,124,92,0.665768,FIFO,locality
371,False,247,125,93,0.663978,FIFO,locality
